onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0007	10	1	$0	0.25	-1	0	$0.00	6
26.0028	10	2	($1)	0.25	0.22935	1	$0.00	6
40.0021	6	3	$0	0.25	0.236	1	$0.00	2
50.0014	8	4	$5	0.25	0.23895	1	$5.00	4
62.0009	10	5	$0	0.25	0.22636	1	$5.00	6
76.0035	8	6	$0	0.25	-1	0	$5.00	4
88.0009	10	7	($5)	0.25	0.22329	1	$5.00	6
102.0009	6	8	($1)	0.25	-1	0	$4.00	2
112.0009	10	9	$1	0.25	0.2343	1	$5.00	6
126.0009	8	10	$0	0.25	0.22515	1	$5.00	4
138.0008	10	11	$1	0.25	0.22759	1	$6.00	6
152.0008	6	12	$5	0.25	0.21854	1	$11.00	2
162.0008	8	13	($5)	0.25	0.2139	1	$11.00	4
174.0008	8	14	$0	0.23	-1	0	$11.00	4
186.0008	10	15	($1)	0.25	0.2371	1	$11.00	6
200.0008	6	16	$0	0.25	-1	0	$11.00	2
210.0008	8	17	($1)	0.23	-1	0	$10.00	4
222.0008	10	18	$5	0.25	0.21005	1	$15.00	6
236.0008	6	19	($5)	0.25	0.21128	1	$15.00	2
246.0008	8	20	$5	0.23	0.21397	1	$20.00	4
258.0008	6	21	$1	0.25	-1	0	$20.00	2
268.0006	8	22	($5)	0.23	-1	0	$15.00	4
280.0008	10	23	($1)	0.25	0.24758	1	$15.00	6
294.0008	6	24	$0	0.27	0.24357	1	$15.00	2
304.0008	6	25	$1	0.23	-1	0	$15.00	2
314.0008	10	26	$5	0.21	-1	0	$15.00	6
328.0008	8	27	$0	0.29	0.23521	1	$15.00	4
340.0008	10	28	$0	0.25	0.22852	1	$15.00	6
354.0009	6	29	($5)	0.21	-1	0	$10.00	2
364.0008	10	30	$1	0.25	-1	0	$10.00	6
378.0008	8	31	($5)	0.23	0.22369	1	$10.00	4
390.0008	10	32	$0	0.31	-1	0	$10.00	6
404.0008	8	33	$0	0.27	0.24936	1	$10.00	4
416.0008	6	34	($1)	0.27	-1	0	$9.00	2
426.0007	6	35	$1	0.27	-1	0	$9.00	2
436.0008	8	36	$0	0.33	0.25643	1	$9.00	4
448.0008	10	37	$5	0.19	-1	0	$9.00	6
462.0008	6	38	$0	0.25	-1	0	$9.00	2
472.0008	8	39	$0	0.35	0.24634	1	$9.00	4
484.0008	10	40	$0	0.27	0.23296	1	$9.00	6
498.0008	10	41	($5)	0.21	-1	0	$4.00	6
512.0008	8	42	($1)	0.29	0.27867	1	$4.00	4
524.0008	6	43	$5	0.17	-1	0	$4.00	2
534.0007	8	44	($1)	0.31	0.25106	1	$4.00	4
546.0007	6	45	$0	0.29	0.21124	1	$4.00	2
556.0007	10	46	($5)	0.23	-1	0	($1.00)	6
570.0008	6	47	($1)	0.33	-1	0	($2.00)	2
580.0008	6	48	($5)	0.25	0.23833	1	($2.00)	2
590.0008	10	49	$5	0.19	-1	0	($2.00)	6
604.0008	6	50	($5)	0.27	-1	0	($7.00)	2
614.0007	6	51	($1)	0.35	-1	0	($8.00)	2
624.0007	10	52	$0	0.37	0.22566	1	($8.00)	6
638.0008	8	53	($5)	0.29	0.23581	1	($8.00)	4
650.0008	6	54	$0	0.27	-1	0	($8.00)	2
660.0008	8	55	$1	0.29	0.23588	1	($7.00)	4
672.0008	10	56	($1)	0.37	-1	0	($8.00)	6
686.0006	6	57	$1	0.31	-1	0	($8.00)	2
696.0008	8	58	$1	0.33	0.23579	1	($7.00)	4
708.0008	8	59	$5	0.21	-1	0	($7.00)	4
720.001	10	60	$1	0.35	0.23737	1	($6.00)	6
734.0008	10	61	($5)	0.31	-1	0	($11.00)	6
748.0007	6	62	$5	0.23	0.21429	1	($6.00)	2
758.0008	8	63	$1	0.37	0.23505	1	($5.00)	4
770.0008	8	64	$1	0.39	0.20382	1	($4.00)	4
782.0008	8	65	($1)	0.39	0.22356	1	($4.00)	4
794.0008	6	66	$0	0.35	0.23413	1	($4.00)	2
804.0007	8	67	$5	0.25	0.2143	1	$1.00	4
816.0007	10	68	$0	0.29	0.23565	1	$1.00	6
830.0008	8	69	$0	0.31	0.29534	1	$1.00	4
842.0008	10	70	$0	0.33	0.23773	1	$1.00	6
856.0007	6	71	$0	0.31	0.25475	1	$1.00	2
866.0007	6	72	$5	0.27	0.26441	1	$6.00	2
