onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	-1	0	$0.00	6
26.0008	10	2	-$1	0.25	-1	0	$-1.00	6
40.001	6	3	+$0	0.25	0.23455	1	$-1.00	2
50.001	8	4	+$5	0.25	0.22626	1	$4.00	4
62.0008	10	5	+$0	0.25	0.14781	1	$4.00	6
76.0011	8	6	+$0	0.25	0.22493	1	$4.00	4
88.0007	10	7	-$5	0.25	0.21957	1	$4.00	6
102.0008	6	8	-$1	0.25	0.24161	1	$4.00	2
112.0007	10	9	+$1	0.25	0.22728	1	$5.00	6
126.0007	8	10	-$0	0.25	0.23013	1	$5.00	4
138.0007	10	11	+$1	0.25	0.23276	1	$6.00	6
152.0007	6	12	+$5	0.25	0.23484	1	$11.00	2
162.0006	8	13	-$5	0.25	0.040669	1	$11.00	4
174.0005	8	14	+$0	0.23	-1	0	$11.00	4
186.0006	10	15	-$1	0.25	0.23844	1	$11.00	6
200.0006	6	16	-$0	0.25	-1	0	$11.00	2
210.0006	8	17	-$1	0.23	-1	0	$10.00	4
222.0006	10	18	+$5	0.25	-1	0	$10.00	6
236.0006	6	19	-$5	0.25	0.20892	1	$10.00	2
246.0006	8	20	+$5	0.23	-1	0	$10.00	4
258.0006	6	21	+$1	0.25	-1	0	$10.00	2
268.0006	8	22	-$5	0.23	-1	0	$5.00	4
280.0006	10	23	-$1	0.25	0.22551	1	$5.00	6
294.0006	6	24	-$0	0.27	0.24806	1	$5.00	2
304.0006	6	25	+$1	0.23	0.22823	1	$6.00	2
314.0006	10	26	+$5	0.25	0.23372	1	$11.00	6
328.0005	8	27	-$0	0.29	0.22858	1	$11.00	4
340.0006	10	28	+$0	0.21	-1	0	$11.00	6
354.0006	6	29	-$5	0.21	0.082548	1	$11.00	2
364.0006	10	30	+$1	0.21	-1	0	$11.00	6
378.0006	8	31	-$5	0.19	-1	0	$6.00	4
390.0006	10	32	-$0	0.31	0.30336	1	$6.00	6
404.0006	8	33	+$0	0.23	0.083727	1	$6.00	4
416.0006	6	34	-$1	0.27	0.23602	1	$6.00	2
426.0006	6	35	+$1	0.23	-1	0	$6.00	2
436.0006	8	36	-$0	0.29	0.23273	1	$6.00	4
448.0006	10	37	+$5	0.27	0.22351	1	$11.00	6
462.0006	6	38	+$0	0.21	-1	0	$11.00	2
472.0006	8	39	-$0	0.27	0.26724	1	$11.00	4
484.0006	10	40	+$0	0.23	-1	0	$11.00	6
498.0008	10	41	-$5	0.17	-1	0	$6.00	6
512.0006	8	42	-$1	0.25	0.23086	1	$6.00	4
524.0006	6	43	+$5	0.25	0.22981	1	$11.00	2
534.0006	8	44	-$1	0.23	0.19254	1	$11.00	4
546.0006	6	45	+$0	0.25	0.24212	1	$11.00	2
556.0005	10	46	-$5	0.19	-1	0	$6.00	6
570.0006	6	47	-$1	0.21	-1	0	$5.00	2
580.0006	6	48	-$5	0.21	-1	0	$0.00	2
590.0006	10	49	+$5	0.23	-1	0	$0.00	6
604.0006	6	50	-$5	0.23	-1	0	$-5.00	2
614.0006	6	51	-$1	0.19	-1	0	$-6.00	2
624.0006	10	52	-$0	0.25	0.23965	1	$-6.00	6
638.0006	8	53	-$5	0.25	-1	0	$-11.00	4
650.0005	6	54	+$0	0.27	0.24691	1	$-11.00	2
660.0006	8	55	+$1	0.25	0.24851	1	$-10.00	4
672.0006	10	56	-$1	0.21	-1	0	$-11.00	6
686.0006	6	57	+$1	0.27	0.23411	1	$-10.00	2
696.0006	8	58	+$1	0.29	0.24644	1	$-9.00	4
708.0006	8	59	+$5	0.25	0.23261	1	$-4.00	4
720.0006	10	60	+$1	0.27	0.25945	1	$-3.00	6
734.0006	10	61	-$5	0.27	0.25385	1	$-3.00	6
748.0006	6	62	+$5	0.23	-1	0	$-3.00	2
758.0006	8	63	+$1	0.25	0.22617	1	$-2.00	4
770.0006	8	64	+$1	0.23	0.22995	1	$-1.00	4
782.0006	8	65	-$1	0.23	-1	0	$-2.00	4
794.0006	6	66	-$0	0.23	-1	0	$-2.00	2
804.0006	8	67	+$5	0.25	-1	0	$-2.00	4
816.0006	10	68	+$0	0.29	0.2262	1	$-2.00	6
830.0006	8	69	+$0	0.31	0.29742	1	$-2.00	4
842.0006	10	70	-$0	0.21	-1	0	$-2.00	6
856.0006	6	71	-$0	0.23	-1	0	$-2.00	2
866.0006	6	72	+$5	0.27	0.24011	1	$3.00	2
