onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.21607	1	$0.00	6
26.0009	10	2	-$1	0.25	-1	0	$-1.00	6
40.0008	6	3	+$0	0.25	0.22265	1	$-1.00	2
50.0008	8	4	+$5	0.25	-1	0	$-1.00	4
62.0008	10	5	+$0	0.25	-1	0	$-1.00	6
76.0008	8	6	+$0	0.25	0.20081	1	$-1.00	4
88.0008	10	7	-$5	0.25	0.20246	1	$-1.00	6
102.0008	6	8	-$1	0.25	-1	0	$-2.00	2
112.0008	10	9	+$1	0.25	0.19323	1	$-1.00	6
126.0008	8	10	-$0	0.25	-1	0	$-1.00	4
138.0006	10	11	+$1	0.25	0.20714	1	$0.00	6
152.0009	6	12	+$5	0.25	0.19881	1	$5.00	2
162.0007	8	13	-$5	0.25	0.20426	1	$5.00	4
174.0009	8	14	+$0	0.23	0.2165	1	$5.00	4
186.0008	10	15	-$1	0.25	0.19644	1	$5.00	6
200.0008	6	16	-$0	0.25	-1	0	$5.00	2
210.0006	8	17	-$1	0.27	0.21048	1	$5.00	4
222.0008	10	18	+$5	0.25	0.17831	1	$10.00	6
236.0008	6	19	-$5	0.25	0.21811	1	$10.00	2
246.0013	8	20	+$5	0.23	-1	0	$10.00	4
258.0008	6	21	+$1	0.25	0.20113	1	$11.00	2
268.0007	8	22	-$5	0.23	0.19313	1	$11.00	4
280.0008	10	23	-$1	0.29	0.22855	1	$11.00	6
294.0008	6	24	-$0	0.27	0.24859	1	$11.00	2
304.0008	6	25	+$1	0.23	0.20912	1	$12.00	2
314.0007	10	26	+$5	0.25	0.20411	1	$17.00	6
328.0008	8	27	-$0	0.29	0.24275	1	$17.00	4
340.0007	10	28	+$0	0.21	0.20435	1	$17.00	6
354.0008	6	29	-$5	0.21	-1	0	$12.00	2
364.0008	10	30	+$1	0.21	0.20109	1	$13.00	6
378.0008	8	31	-$5	0.19	-1	0	$8.00	4
390.0007	10	32	-$0	0.31	0.21674	1	$8.00	6
404.0007	8	33	+$0	0.19	-1	0	$8.00	4
416.0008	6	34	-$1	0.31	0.19569	1	$8.00	2
426.0008	6	35	+$1	0.19	-1	0	$8.00	2
436.0008	8	36	-$0	0.29	0.2101	1	$8.00	4
448.0008	10	37	+$5	0.27	0.19949	1	$13.00	6
462.0007	6	38	+$0	0.17	-1	0	$13.00	2
472.0007	8	39	-$0	0.27	0.20307	1	$13.00	4
484.0008	10	40	+$0	0.19	-1	0	$13.00	6
498.0006	10	41	-$5	0.17	-1	0	$8.00	6
512.0007	8	42	-$1	0.29	0.19978	1	$8.00	4
524.0008	6	43	+$5	0.25	0.21956	1	$13.00	2
534.0007	8	44	-$1	0.27	-1	0	$12.00	4
546.0006	6	45	+$0	0.21	-1	0	$12.00	2
556.0008	10	46	-$5	0.19	0.18773	1	$12.00	6
570.0008	6	47	-$1	0.29	0.19035	1	$12.00	2
580.0007	6	48	-$5	0.21	0.19091	1	$12.00	2
590.0007	10	49	+$5	0.23	0.20359	1	$17.00	6
604.0008	6	50	-$5	0.19	-1	0	$12.00	2
614.0007	6	51	-$1	0.27	0.20344	1	$12.00	2
624.0007	10	52	-$0	0.25	0.066464	1	$12.00	6
638.0008	8	53	-$5	0.21	0.20308	1	$12.00	4
650.0007	6	54	+$0	0.23	-1	0	$12.00	2
660.0006	8	55	+$1	0.17	-1	0	$12.00	4
672.0008	10	56	-$1	0.25	0.22363	1	$12.00	6
686.0011	6	57	+$1	0.15	-1	0	$12.00	2
696.0008	8	58	+$1	0.17	-1	0	$12.00	4
708.0008	8	59	+$5	0.21	0.20167	1	$17.00	4
720.0008	10	60	+$1	0.19	-1	0	$17.00	6
734.0008	10	61	-$5	0.23	-1	0	$12.00	6
748.0008	6	62	+$5	0.19	-1	0	$12.00	2
758.0007	8	63	+$1	0.21	0.19857	1	$13.00	4
770.0007	8	64	+$1	0.23	0.2001	1	$14.00	4
782.0008	8	65	-$1	0.23	0.19951	1	$14.00	4
794.0009	6	66	-$0	0.23	-1	0	$14.00	2
804.0005	8	67	+$5	0.17	-1	0	$14.00	4
816.0008	10	68	+$0	0.25	0.21165	1	$14.00	6
830.0008	8	69	+$0	0.27	-1	0	$14.00	4
842.0006	10	70	-$0	0.21	-1	0	$14.00	6
856.0008	6	71	-$0	0.23	-1	0	$14.00	2
866.0007	6	72	+$5	0.19	-1	0	$14.00	2
