onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.20093	1	$0.00	6
26.0008	10	2	-$1	0.25	-1	0	$-1.00	6
40.0006	6	3	+$0	0.25	0.21408	1	$-1.00	2
50.0008	8	4	+$5	0.25	0.19656	1	$4.00	4
62.0008	10	5	+$0	0.25	-1	0	$4.00	6
76.0006	8	6	+$0	0.25	0.22735	1	$4.00	4
88.0007	10	7	-$5	0.25	0.20996	1	$4.00	6
102.0008	6	8	-$1	0.25	0.24519	1	$4.00	2
112.0007	10	9	+$1	0.25	-1	0	$4.00	6
126.0007	8	10	-$0	0.25	-1	0	$4.00	4
138.0006	10	11	+$1	0.25	0.22216	1	$5.00	6
152.0008	6	12	+$5	0.25	0.22296	1	$10.00	2
162.0007	8	13	-$5	0.25	0.17628	1	$10.00	4
174.0008	8	14	+$0	0.23	-1	0	$10.00	4
186.0007	10	15	-$1	0.25	0.20872	1	$10.00	6
200.0008	6	16	-$0	0.25	-1	0	$10.00	2
210.0006	8	17	-$1	0.23	-1	0	$9.00	4
222.0007	10	18	+$5	0.25	0.20357	1	$14.00	6
236.0008	6	19	-$5	0.25	0.21301	1	$14.00	2
246.0007	8	20	+$5	0.23	0.21383	1	$19.00	4
258.0008	6	21	+$1	0.25	0.22514	1	$20.00	2
268.0007	8	22	-$5	0.23	-1	0	$15.00	4
280.0008	10	23	-$1	0.25	0.19572	1	$15.00	6
294.0007	6	24	-$0	0.27	0.22358	1	$15.00	2
304.0007	6	25	+$1	0.23	0.20234	1	$16.00	2
314.0007	10	26	+$5	0.21	0.18877	1	$21.00	6
328.0008	8	27	-$0	0.29	-1	0	$21.00	4
340.0006	10	28	+$0	0.25	0.19419	1	$21.00	6
354.0008	6	29	-$5	0.21	-1	0	$16.00	2
364.0007	10	30	+$1	0.21	0.20725	1	$17.00	6
378.0007	8	31	-$5	0.23	0.20744	1	$17.00	4
390.0008	10	32	-$0	0.31	0.23643	1	$17.00	6
404.0008	8	33	+$0	0.27	-1	0	$17.00	4
416.0008	6	34	-$1	0.27	0.20918	1	$17.00	2
426.0007	6	35	+$1	0.19	-1	0	$17.00	2
436.0009	8	36	-$0	0.33	-1	0	$17.00	4
448.0006	10	37	+$5	0.19	0.080693	1	$22.00	6
462.0008	6	38	+$0	0.29	-1	0	$22.00	2
472.0007	8	39	-$0	0.35	0.29991	1	$22.00	4
484.0008	10	40	+$0	0.31	0.21594	1	$22.00	6
498.0007	10	41	-$5	0.21	0.19769	1	$22.00	6
512.0007	8	42	-$1	0.25	-1	0	$21.00	4
524.0006	6	43	+$5	0.17	-1	0	$21.00	2
534.0008	8	44	-$1	0.27	0.22608	1	$21.00	4
546.0007	6	45	+$0	0.33	0.26049	1	$21.00	2
556.0007	10	46	-$5	0.19	-1	0	$16.00	6
570.0008	6	47	-$1	0.29	0.22097	1	$16.00	2
580.0007	6	48	-$5	0.21	0.18148	1	$16.00	2
590.0007	10	49	+$5	0.15	-1	0	$16.00	6
604.0008	6	50	-$5	0.19	-1	0	$11.00	2
614.0008	6	51	-$1	0.27	0.21814	1	$11.00	2
624.001	10	52	-$0	0.37	0.16842	1	$11.00	6
638.0007	8	53	-$5	0.21	0.18708	1	$11.00	4
650.0007	6	54	+$0	0.35	0.22505	1	$11.00	2
660.0007	8	55	+$1	0.17	-1	0	$11.00	4
672.0007	10	56	-$1	0.25	0.22209	1	$11.00	6
686.0007	6	57	+$1	0.19	-1	0	$11.00	2
696.0007	8	58	+$1	0.21	-1	0	$11.00	4
708.0007	8	59	+$5	0.13	-1	0	$11.00	4
720.0007	10	60	+$1	0.23	0.21553	1	$12.00	6
734.0007	10	61	-$5	0.23	-1	0	$7.00	6
748.0008	6	62	+$5	0.11	-1	0	$7.00	2
758.0007	8	63	+$1	0.25	0.21238	1	$8.00	4
770.0007	8	64	+$1	0.27	-1	0	$8.00	4
782.0007	8	65	-$1	0.23	0.21909	1	$8.00	4
794.0007	6	66	-$0	0.39	-1	0	$8.00	2
804.0008	8	67	+$5	0.13	-1	0	$8.00	4
816.0007	10	68	+$0	0.37	0.23354	1	$8.00	6
830.0008	8	69	+$0	0.39	0.23331	1	$8.00	4
842.0007	10	70	-$0	0.41	0.2177	1	$8.00	6
856.0007	6	71	-$0	0.43	0.22626	1	$8.00	2
866.0007	6	72	+$5	0.15	-1	0	$8.00	2
