onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.20231	1	$0.00	6
26.0008	10	2	-$1	0.25	0.20341	1	$0.00	6
40.0008	6	3	+$0	0.25	0.23168	1	$0.00	2
50.0007	8	4	+$5	0.25	0.22912	1	$5.00	4
62.0007	10	5	+$0	0.25	0.23624	1	$5.00	6
76.0007	8	6	+$0	0.25	0.22271	1	$5.00	4
88.0008	10	7	-$5	0.25	0.21239	1	$5.00	6
102.0008	6	8	-$1	0.25	0.23204	1	$5.00	2
112.0008	10	9	+$1	0.25	0.21557	1	$6.00	6
126.0007	8	10	-$0	0.25	0.19995	1	$6.00	4
138.0008	10	11	+$1	0.25	0.23237	1	$7.00	6
152.0007	6	12	+$5	0.25	0.20327	1	$12.00	2
162.0008	8	13	-$5	0.25	0.21342	1	$12.00	4
174.0007	8	14	+$0	0.23	0.21965	1	$12.00	4
186.0007	10	15	-$1	0.25	-1	0	$11.00	6
200.0008	6	16	-$0	0.25	0.055445	1	$11.00	2
210.0007	8	17	-$1	0.23	0.22693	1	$11.00	4
222.0007	10	18	+$5	0.25	0.2115	1	$16.00	6
236.0007	6	19	-$5	0.25	0.20587	1	$16.00	2
246.0007	8	20	+$5	0.23	0.19714	1	$21.00	4
258.0008	6	21	+$1	0.25	0.22223	1	$22.00	2
268.0007	8	22	-$5	0.23	0.20488	1	$22.00	4
280.0007	10	23	-$1	0.21	-1	0	$21.00	6
294.0007	6	24	-$0	0.23	0.21106	1	$21.00	2
304.0007	6	25	+$1	0.23	0.21895	1	$22.00	2
314.0011	10	26	+$5	0.21	0.20438	1	$27.00	6
328.0008	8	27	-$0	0.21	-1	0	$27.00	4
340.0006	10	28	+$0	0.21	0.19874	1	$27.00	6
354.0007	6	29	-$5	0.21	-1	0	$22.00	2
364.0007	10	30	+$1	0.21	0.20895	1	$23.00	6
378.0007	8	31	-$5	0.19	-1	0	$18.00	4
390.001	10	32	-$0	0.19	-1	0	$18.00	6
404.0007	8	33	+$0	0.19	-1	0	$18.00	4
416.0007	6	34	-$1	0.23	-1	0	$17.00	2
426.0007	6	35	+$1	0.19	-1	0	$17.00	2
436.0008	8	36	-$0	0.17	-1	0	$17.00	4
448.0008	10	37	+$5	0.19	-1	0	$17.00	6
462.0007	6	38	+$0	0.17	-1	0	$17.00	2
472.0007	8	39	-$0	0.19	-1	0	$17.00	4
484.0007	10	40	+$0	0.15	-1	0	$17.00	6
498.0007	10	41	-$5	0.17	-1	0	$12.00	6
512.0007	8	42	-$1	0.25	-1	0	$11.00	4
524.0007	6	43	+$5	0.17	-1	0	$11.00	2
534.0007	8	44	-$1	0.27	0.20246	1	$11.00	4
546.001	6	45	+$0	0.17	-1	0	$11.00	2
556.0007	10	46	-$5	0.19	-1	0	$6.00	6
570.0007	6	47	-$1	0.29	0.20868	1	$6.00	2
580.0007	6	48	-$5	0.21	0.19373	1	$6.00	2
590.0007	10	49	+$5	0.15	-1	0	$6.00	6
604.0008	6	50	-$5	0.23	0.21253	1	$6.00	2
614.0007	6	51	-$1	0.31	0.27289	1	$6.00	2
624.0007	10	52	-$0	0.21	-1	0	$6.00	6
638.0008	8	53	-$5	0.25	0.20062	1	$6.00	4
650.0007	6	54	+$0	0.19	0.18938	1	$6.00	2
660.0007	8	55	+$1	0.17	-1	0	$6.00	4
672.0007	10	56	-$1	0.33	0.086086	1	$6.00	6
686.0007	6	57	+$1	0.15	-1	0	$6.00	2
696.0007	8	58	+$1	0.17	-1	0	$6.00	4
708.0008	8	59	+$5	0.17	-1	0	$6.00	4
720.0008	10	60	+$1	0.19	-1	0	$6.00	6
734.0007	10	61	-$5	0.27	0.20541	1	$6.00	6
748.0007	6	62	+$5	0.19	0.15036	1	$11.00	2
758.0007	8	63	+$1	0.21	-1	0	$11.00	4
770.001	8	64	+$1	0.23	0.19876	1	$12.00	4
782.0007	8	65	-$1	0.35	0.22429	1	$12.00	4
794.0007	6	66	-$0	0.23	0.20209	1	$12.00	2
804.0007	8	67	+$5	0.21	0.14839	1	$17.00	4
816.001	10	68	+$0	0.21	0.20811	1	$17.00	6
830.0008	8	69	+$0	0.23	-1	0	$17.00	4
842.0007	10	70	-$0	0.25	0.21262	1	$17.00	6
856.0008	6	71	-$0	0.27	0.19107	1	$17.00	2
866.001	6	72	+$5	0.23	0.21389	1	$22.00	2
