onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	-1	0	$0.00	6
26.0009	10	2	-$1	0.25	-1	0	$-1.00	6
40.001	6	3	+$0	0.25	0.23441	1	$-1.00	2
50.001	8	4	+$5	0.25	0.22185	1	$4.00	4
62.0008	10	5	+$0	0.25	-1	0	$4.00	6
76.0008	8	6	+$0	0.25	-1	0	$4.00	4
88.0008	10	7	-$5	0.25	0.21098	1	$4.00	6
102.0008	6	8	-$1	0.25	0.23028	1	$4.00	2
112.0011	10	9	+$1	0.25	0.24881	1	$5.00	6
126.0008	8	10	-$0	0.25	-1	0	$5.00	4
138.0008	10	11	+$1	0.25	0.23516	1	$6.00	6
152.0008	6	12	+$5	0.25	-1	0	$6.00	2
162.0008	8	13	-$5	0.25	0.22261	1	$6.00	4
174.0012	8	14	+$0	0.27	-1	0	$6.00	4
186.0013	10	15	-$1	0.25	0.24409	1	$6.00	6
200.0008	6	16	-$0	0.25	0.22824	1	$6.00	2
210.0008	8	17	-$1	0.23	0.21617	1	$6.00	4
222.0008	10	18	+$5	0.25	0.22065	1	$11.00	6
236.0008	6	19	-$5	0.25	0.24218	1	$11.00	2
246.0008	8	20	+$5	0.23	-1	0	$11.00	4
258.0008	6	21	+$1	0.25	0.11405	1	$12.00	2
268.0012	8	22	-$5	0.23	0.21395	1	$12.00	4
280.0008	10	23	-$1	0.21	-1	0	$11.00	6
294.0008	6	24	-$0	0.27	-1	0	$11.00	2
304.0008	6	25	+$1	0.23	0.21582	1	$12.00	2
314.0008	10	26	+$5	0.25	0.23787	1	$17.00	6
328.0008	8	27	-$0	0.29	-1	0	$17.00	4
340.0008	10	28	+$0	0.29	0.281	1	$17.00	6
354.0008	6	29	-$5	0.21	-1	0	$12.00	2
364.0008	10	30	+$1	0.21	-1	0	$12.00	6
378.0008	8	31	-$5	0.19	-1	0	$7.00	4
390.0008	10	32	-$0	0.31	0.22321	1	$7.00	6
404.0007	8	33	+$0	0.31	0.26909	1	$7.00	4
416.0008	6	34	-$1	0.23	-1	0	$6.00	2
426.0008	6	35	+$1	0.19	-1	0	$6.00	2
436.0008	8	36	-$0	0.33	0.24774	1	$6.00	4
448.0008	10	37	+$5	0.27	0.23653	1	$11.00	6
462.0007	6	38	+$0	0.33	0.25521	1	$11.00	2
472.0008	8	39	-$0	0.35	0.26781	1	$11.00	4
484.0007	10	40	+$0	0.35	-1	0	$11.00	6
498.0007	10	41	-$5	0.17	-1	0	$6.00	6
512.0007	8	42	-$1	0.25	0.2184	1	$6.00	4
524.0007	6	43	+$5	0.25	0.24172	1	$11.00	2
534.0007	8	44	-$1	0.27	0.26418	1	$11.00	4
546.0008	6	45	+$0	0.37	-1	0	$11.00	2
556.0008	10	46	-$5	0.19	-1	0	$6.00	6
570.0007	6	47	-$1	0.29	0.26663	1	$6.00	2
580.0008	6	48	-$5	0.21	-1	0	$1.00	2
590.0007	10	49	+$5	0.23	0.22408	1	$6.00	6
604.0007	6	50	-$5	0.23	0.21243	1	$6.00	2
614.0011	6	51	-$1	0.27	-1	0	$5.00	2
624.0008	10	52	-$0	0.37	0.26966	1	$5.00	6
638.0008	8	53	-$5	0.25	-1	0	$0.00	4
650.0008	6	54	+$0	0.39	0.25219	1	$0.00	2
660.0007	8	55	+$1	0.17	-1	0	$0.00	4
672.0007	10	56	-$1	0.29	0.25682	1	$0.00	6
686.0008	6	57	+$1	0.19	-1	0	$0.00	2
696.0008	8	58	+$1	0.21	-1	0	$0.00	4
708.0008	8	59	+$5	0.21	-1	0	$0.00	4
720.0008	10	60	+$1	0.23	0.21075	1	$1.00	6
734.0007	10	61	-$5	0.27	-1	0	$-4.00	6
748.0008	6	62	+$5	0.19	-1	0	$-4.00	2
758.0008	8	63	+$1	0.25	-1	0	$-4.00	4
770.0007	8	64	+$1	0.27	-1	0	$-4.00	4
782.0007	8	65	-$1	0.31	0.24004	1	$-4.00	4
794.0007	6	66	-$0	0.39	0.37554	1	$-4.00	2
804.0008	8	67	+$5	0.21	-1	0	$-4.00	4
816.0008	10	68	+$0	0.41	0.27284	1	$-4.00	6
830.0007	8	69	+$0	0.43	0.29284	1	$-4.00	4
842.0007	10	70	-$0	0.41	0.38222	1	$-4.00	6
856.0008	6	71	-$0	0.43	0.24288	1	$-4.00	2
866.0008	6	72	+$5	0.23	0.22139	1	$1.00	2
