onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0007	10	1	-$0	0.25	0.22703	1	$0.00	6
26.0033	10	2	-$1	0.25	0.23763	1	$0.00	6
40.0022	6	3	+$0	0.25	-1	0	$0.00	2
50.0012	8	4	+$5	0.25	0.23428	1	$5.00	4
62.0009	10	5	+$0	0.25	0.20494	1	$5.00	6
76.0009	8	6	+$0	0.25	-1	0	$5.00	4
88.0009	10	7	-$5	0.25	0.23631	1	$5.00	6
102.0009	6	8	-$1	0.25	-1	0	$4.00	2
112.0009	10	9	+$1	0.25	0.21543	1	$5.00	6
126.0009	8	10	-$0	0.25	0.22756	1	$5.00	4
138.0008	10	11	+$1	0.25	-1	0	$5.00	6
152.0008	6	12	+$5	0.25	0.18334	1	$10.00	2
162.0007	8	13	-$5	0.25	0.2457	1	$10.00	4
174.0008	8	14	+$0	0.27	-1	0	$10.00	4
186.0009	10	15	-$1	0.25	0.23907	1	$10.00	6
200.0008	6	16	-$0	0.25	0.23886	1	$10.00	2
210.0008	8	17	-$1	0.23	0.22292	1	$10.00	4
222.0008	10	18	+$5	0.25	0.22125	1	$15.00	6
236.0008	6	19	-$5	0.25	-1	0	$10.00	2
246.0008	8	20	+$5	0.23	-1	0	$10.00	4
258.0008	6	21	+$1	0.25	0.22641	1	$11.00	2
268.0008	8	22	-$5	0.23	-1	0	$6.00	4
280.0007	10	23	-$1	0.21	0.20953	1	$6.00	6
294.0008	6	24	-$0	0.23	-1	0	$6.00	2
304.0008	6	25	+$1	0.23	0.22053	1	$7.00	2
314.0008	10	26	+$5	0.21	0.20477	1	$12.00	6
328.0008	8	27	-$0	0.21	0.20212	1	$12.00	4
340.0008	10	28	+$0	0.29	-1	0	$12.00	6
354.0011	6	29	-$5	0.25	-1	0	$7.00	2
364.0008	10	30	+$1	0.21	-1	0	$7.00	6
378.0007	8	31	-$5	0.27	0.19441	1	$7.00	4
390.0008	10	32	-$0	0.19	-1	0	$7.00	6
404.0008	8	33	+$0	0.31	0.22836	1	$7.00	4
416.0008	6	34	-$1	0.19	-1	0	$6.00	2
426.0007	6	35	+$1	0.23	0.22273	1	$7.00	2
436.0008	8	36	-$0	0.17	-1	0	$7.00	4
448.0008	10	37	+$5	0.19	-1	0	$7.00	6
462.0008	6	38	+$0	0.33	0.22748	1	$7.00	2
472.0007	8	39	-$0	0.19	-1	0	$7.00	4
484.0008	10	40	+$0	0.35	0.30245	1	$7.00	6
498.0008	10	41	-$5	0.29	0.22905	1	$7.00	6
512.0008	8	42	-$1	0.17	-1	0	$6.00	4
524.0008	6	43	+$5	0.17	-1	0	$6.00	2
534.0008	8	44	-$1	0.19	-1	0	$5.00	4
546.0008	6	45	+$0	0.37	0.24003	1	$5.00	2
556.0008	10	46	-$5	0.31	0.28309	1	$5.00	6
570.0008	6	47	-$1	0.21	-1	0	$4.00	2
580.0007	6	48	-$5	0.33	0.23982	1	$4.00	2
590.0008	10	49	+$5	0.19	-1	0	$4.00	6
604.0008	6	50	-$5	0.31	0.24958	1	$4.00	2
614.0007	6	51	-$1	0.23	-1	0	$3.00	2
624.0007	10	52	-$0	0.21	-1	0	$3.00	6
638.0008	8	53	-$5	0.29	0.21925	1	$3.00	4
650.0008	6	54	+$0	0.39	0.21225	1	$3.00	2
660.0007	8	55	+$1	0.21	-1	0	$3.00	4
672.0012	10	56	-$1	0.25	-1	0	$2.00	6
686.0008	6	57	+$1	0.23	0.2047	1	$3.00	2
696.0008	8	58	+$1	0.25	-1	0	$3.00	4
708.0007	8	59	+$5	0.21	0.19825	1	$8.00	4
720.0008	10	60	+$1	0.27	-1	0	$8.00	6
734.0007	10	61	-$5	0.27	0.11706	1	$8.00	6
748.0008	6	62	+$5	0.23	-1	0	$8.00	2
758.0007	8	63	+$1	0.29	-1	0	$8.00	4
770.0008	8	64	+$1	0.31	0.22665	1	$9.00	4
782.0007	8	65	-$1	0.27	0.20936	1	$9.00	4
794.0007	6	66	-$0	0.23	-1	0	$9.00	2
804.0007	8	67	+$5	0.25	0.19338	1	$14.00	4
816.0007	10	68	+$0	0.41	0.39499	1	$14.00	6
830.0008	8	69	+$0	0.43	0.26178	1	$14.00	4
842.0007	10	70	-$0	0.25	-1	0	$14.00	6
856.0008	6	71	-$0	0.27	0.24884	1	$14.00	2
866.0008	6	72	+$5	0.27	0.21979	1	$19.00	2
