onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	-1	0	$0.00	6
26.001	10	2	-$1	0.25	0.23906	1	$0.00	6
40.0011	6	3	+$0	0.25	0.23532	1	$0.00	2
50.0009	8	4	+$5	0.25	0.21137	1	$5.00	4
62.0008	10	5	+$0	0.25	0.23473	1	$5.00	6
76.0008	8	6	+$0	0.25	-1	0	$5.00	4
88.0008	10	7	-$5	0.25	0.13637	1	$5.00	6
102.0008	6	8	-$1	0.25	-1	0	$4.00	2
112.0008	10	9	+$1	0.25	0.22904	1	$5.00	6
126.0008	8	10	-$0	0.25	-1	0	$5.00	4
138.0008	10	11	+$1	0.25	-1	0	$5.00	6
152.0008	6	12	+$5	0.25	0.23185	1	$10.00	2
162.0008	8	13	-$5	0.25	0.1845	1	$10.00	4
174.0008	8	14	+$0	0.23	-1	0	$10.00	4
186.0007	10	15	-$1	0.25	-1	0	$9.00	6
200.0008	6	16	-$0	0.25	0.24288	1	$9.00	2
210.0008	8	17	-$1	0.27	0.2597	1	$9.00	4
222.0008	10	18	+$5	0.25	0.20375	1	$14.00	6
236.0008	6	19	-$5	0.25	-1	0	$9.00	2
246.0008	8	20	+$5	0.23	-1	0	$9.00	4
258.0008	6	21	+$1	0.25	0.20029	1	$10.00	2
268.0008	8	22	-$5	0.23	0.19277	1	$10.00	4
280.0008	10	23	-$1	0.29	0.22497	1	$10.00	6
294.0008	6	24	-$0	0.27	-1	0	$10.00	2
304.0008	6	25	+$1	0.23	0.21125	1	$11.00	2
314.0008	10	26	+$5	0.21	0.18059	1	$16.00	6
328.0008	8	27	-$0	0.29	-1	0	$16.00	4
340.0008	10	28	+$0	0.25	0.22439	1	$16.00	6
354.0008	6	29	-$5	0.21	0.20817	1	$16.00	2
364.0007	10	30	+$1	0.21	-1	0	$16.00	6
378.0008	8	31	-$5	0.19	-1	0	$11.00	4
390.0008	10	32	-$0	0.31	0.2329	1	$11.00	6
404.0008	8	33	+$0	0.27	-1	0	$11.00	4
416.0008	6	34	-$1	0.31	0.21236	1	$11.00	2
426.0007	6	35	+$1	0.23	-1	0	$11.00	2
436.0007	8	36	-$0	0.33	0.24299	1	$11.00	4
448.0007	10	37	+$5	0.19	0.14292	1	$16.00	6
462.0008	6	38	+$0	0.29	-1	0	$16.00	2
472.0007	8	39	-$0	0.35	0.2635	1	$16.00	4
484.0008	10	40	+$0	0.31	0.24639	1	$16.00	6
498.0006	10	41	-$5	0.17	-1	0	$11.00	6
512.0008	8	42	-$1	0.29	0.21306	1	$11.00	4
524.0008	6	43	+$5	0.17	-1	0	$11.00	2
534.0007	8	44	-$1	0.27	0.21855	1	$11.00	4
546.0007	6	45	+$0	0.33	0.25544	1	$11.00	2
556.0008	10	46	-$5	0.19	-1	0	$6.00	6
570.0007	6	47	-$1	0.25	-1	0	$5.00	2
580.0006	6	48	-$5	0.21	0.20578	1	$5.00	2
590.0008	10	49	+$5	0.15	-1	0	$5.00	6
604.0008	6	50	-$5	0.23	0.20665	1	$5.00	2
614.0008	6	51	-$1	0.23	0.22718	1	$5.00	2
624.0008	10	52	-$0	0.37	0.2195	1	$5.00	6
638.0008	8	53	-$5	0.25	0.21381	1	$5.00	4
650.0008	6	54	+$0	0.35	0.25651	1	$5.00	2
660.0008	8	55	+$1	0.25	-1	0	$5.00	4
672.0008	10	56	-$1	0.21	-1	0	$4.00	6
686.0008	6	57	+$1	0.27	-1	0	$4.00	2
696.0008	8	58	+$1	0.29	0.22919	1	$5.00	4
708.0008	8	59	+$5	0.17	-1	0	$5.00	4
720.0007	10	60	+$1	0.31	0.1971	1	$6.00	6
734.0007	10	61	-$5	0.27	0.22125	1	$6.00	6
748.0008	6	62	+$5	0.19	-1	0	$6.00	2
758.0007	8	63	+$1	0.33	-1	0	$6.00	4
770.0008	8	64	+$1	0.35	0.25453	1	$7.00	4
782.0008	8	65	-$1	0.23	0.19964	1	$7.00	4
794.0007	6	66	-$0	0.39	0.24429	1	$7.00	2
804.0008	8	67	+$5	0.21	0.198	1	$12.00	4
816.0007	10	68	+$0	0.37	0.2434	1	$12.00	6
830.0008	8	69	+$0	0.39	0.3675	1	$12.00	4
842.0008	10	70	-$0	0.41	0.21764	1	$12.00	6
856.0007	6	71	-$0	0.43	0.23838	1	$12.00	2
866.0007	6	72	+$5	0.23	0.21853	1	$17.00	2
