onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.23334	1	$0.00	6
26.0009	10	2	-$1	0.25	0.20551	1	$0.00	6
40.0009	6	3	+$0	0.25	0.2272	1	$0.00	2
50.0009	8	4	+$5	0.25	0.1809	1	$5.00	4
62.0008	10	5	+$0	0.25	0.1992	1	$5.00	6
76.0008	8	6	+$0	0.25	0.18623	1	$5.00	4
88.0008	10	7	-$5	0.25	0.19805	1	$5.00	6
102.0008	6	8	-$1	0.25	0.038118	1	$5.00	2
112.0008	10	9	+$1	0.25	0.19851	1	$6.00	6
126.0008	8	10	-$0	0.25	0.22308	1	$6.00	4
138.0008	10	11	+$1	0.25	0.19998	1	$7.00	6
152.0007	6	12	+$5	0.25	0.22691	1	$12.00	2
162.0008	8	13	-$5	0.25	0.24143	1	$12.00	4
174.0008	8	14	+$0	0.23	-1	0	$12.00	4
186.0008	10	15	-$1	0.25	0.20803	1	$12.00	6
200.0008	6	16	-$0	0.25	0.2206	1	$12.00	2
210.0007	8	17	-$1	0.23	0.21493	1	$12.00	4
222.0008	10	18	+$5	0.25	0.20146	1	$17.00	6
236.0008	6	19	-$5	0.25	0.21508	1	$17.00	2
246.0009	8	20	+$5	0.23	0.20041	1	$22.00	4
258.0008	6	21	+$1	0.25	0.21781	1	$23.00	2
268.0008	8	22	-$5	0.23	0.20331	1	$23.00	4
280.0008	10	23	-$1	0.21	0.18313	1	$23.00	6
294.0008	6	24	-$0	0.23	-1	0	$23.00	2
304.0006	6	25	+$1	0.23	0.2087	1	$24.00	2
314.0008	10	26	+$5	0.21	0.18014	1	$29.00	6
328.0008	8	27	-$0	0.21	0.20901	1	$29.00	4
340.0008	10	28	+$0	0.21	-1	0	$29.00	6
354.0008	6	29	-$5	0.21	0.19047	1	$29.00	2
364.0008	10	30	+$1	0.21	0.18533	1	$30.00	6
378.0007	8	31	-$5	0.19	-1	0	$25.00	4
390.0008	10	32	-$0	0.19	-1	0	$25.00	6
404.0008	8	33	+$0	0.23	0.18913	1	$25.00	4
416.0008	6	34	-$1	0.19	-1	0	$24.00	2
426.0008	6	35	+$1	0.19	-1	0	$24.00	2
436.0008	8	36	-$0	0.17	-1	0	$24.00	4
448.0008	10	37	+$5	0.19	-1	0	$24.00	6
462.0008	6	38	+$0	0.21	0.18887	1	$24.00	2
472.0008	8	39	-$0	0.19	-1	0	$24.00	4
484.0008	10	40	+$0	0.19	-1	0	$24.00	6
498.0008	10	41	-$5	0.17	-1	0	$19.00	6
512.0007	8	42	-$1	0.17	0.030228	1	$19.00	4
524.0008	6	43	+$5	0.17	-1	0	$19.00	2
534.0008	8	44	-$1	0.15	-1	0	$18.00	4
546.0008	6	45	+$0	0.21	-1	0	$18.00	2
556.0008	10	46	-$5	0.15	-1	0	$13.00	6
570.0008	6	47	-$1	0.13	-1	0	$12.00	2
580.0006	6	48	-$5	0.17	-1	0	$7.00	2
590.0007	10	49	+$5	0.15	-1	0	$7.00	6
604.0007	6	50	-$5	0.19	-1	0	$2.00	2
614.0008	6	51	-$1	0.11	-1	0	$1.00	2
624.0008	10	52	-$0	0.21	-1	0	$1.00	6
638.0008	8	53	-$5	0.21	0.18886	1	$1.00	4
650.0007	6	54	+$0	0.23	-1	0	$1.00	2
660.0008	8	55	+$1	0.17	-1	0	$1.00	4
672.0007	10	56	-$1	0.13	-1	0	$0.00	6
686.0008	6	57	+$1	0.15	-1	0	$0.00	2
696.0008	8	58	+$1	0.17	-1	0	$0.00	4
708.0009	8	59	+$5	0.17	-1	0	$0.00	4
720.0007	10	60	+$1	0.19	0.10888	1	$1.00	6
734.0007	10	61	-$5	0.23	0.18701	1	$1.00	6
748.0007	6	62	+$5	0.19	-1	0	$1.00	2
758.0006	8	63	+$1	0.21	-1	0	$1.00	4
770.0007	8	64	+$1	0.23	-1	0	$1.00	4
782.0007	8	65	-$1	0.15	-1	0	$0.00	4
794.0007	6	66	-$0	0.23	-1	0	$0.00	2
804.0007	8	67	+$5	0.21	-1	0	$0.00	4
816.0007	10	68	+$0	0.25	0.22319	1	$0.00	6
830.0007	8	69	+$0	0.27	0.20947	1	$0.00	4
842.0008	10	70	-$0	0.25	0.23706	1	$0.00	6
856.0007	6	71	-$0	0.27	-1	0	$0.00	2
866.0007	6	72	+$5	0.23	0.18448	1	$5.00	2
