onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.20547	1	$0.00	6
26.0009	10	2	-$1	0.25	0.21386	1	$0.00	6
40.0008	6	3	+$0	0.25	-1	0	$0.00	2
50.0006	8	4	+$5	0.25	0.20726	1	$5.00	4
62.0007	10	5	+$0	0.25	0.20834	1	$5.00	6
76.0007	8	6	+$0	0.25	-1	0	$5.00	4
88.0008	10	7	-$5	0.25	0.20981	1	$5.00	6
102.0008	6	8	-$1	0.25	0.23237	1	$5.00	2
112.0007	10	9	+$1	0.25	0.1794	1	$6.00	6
126.0007	8	10	-$0	0.25	-1	0	$6.00	4
138.0006	10	11	+$1	0.25	0.21244	1	$7.00	6
152.0008	6	12	+$5	0.25	0.2113	1	$12.00	2
162.0007	8	13	-$5	0.25	0.22964	1	$12.00	4
174.0007	8	14	+$0	0.27	0.23186	1	$12.00	4
186.0008	10	15	-$1	0.25	0.21814	1	$12.00	6
200.0009	6	16	-$0	0.25	0.24425	1	$12.00	2
210.0012	8	17	-$1	0.23	0.20514	1	$12.00	4
222.0008	10	18	+$5	0.25	0.20593	1	$17.00	6
236.0008	6	19	-$5	0.25	0.21778	1	$17.00	2
246.0007	8	20	+$5	0.23	0.21858	1	$22.00	4
258.0008	6	21	+$1	0.25	0.21733	1	$23.00	2
268.0007	8	22	-$5	0.23	0.20369	1	$23.00	4
280.0008	10	23	-$1	0.21	0.19755	1	$23.00	6
294.0007	6	24	-$0	0.23	0.20989	1	$23.00	2
304.0007	6	25	+$1	0.23	0.21232	1	$24.00	2
314.0007	10	26	+$5	0.21	-1	0	$24.00	6
328.0008	8	27	-$0	0.21	-1	0	$24.00	4
340.0007	10	28	+$0	0.29	0.16335	1	$24.00	6
354.0012	6	29	-$5	0.21	0.20247	1	$24.00	2
364.0007	10	30	+$1	0.21	-1	0	$24.00	6
378.0007	8	31	-$5	0.19	-1	0	$19.00	4
390.0007	10	32	-$0	0.23	0.19807	1	$19.00	6
404.0007	8	33	+$0	0.31	0.17485	1	$19.00	4
416.0008	6	34	-$1	0.19	0.18651	1	$19.00	2
426.0007	6	35	+$1	0.19	-1	0	$19.00	2
436.0007	8	36	-$0	0.21	-1	0	$19.00	4
448.0006	10	37	+$5	0.19	0.16109	1	$24.00	6
462.0008	6	38	+$0	0.29	0.1897	1	$24.00	2
472.0007	8	39	-$0	0.23	-1	0	$24.00	4
484.0012	10	40	+$0	0.27	0.18908	1	$24.00	6
498.0007	10	41	-$5	0.17	-1	0	$19.00	6
512.0008	8	42	-$1	0.17	-1	0	$18.00	4
524.0007	6	43	+$5	0.17	-1	0	$18.00	2
534.0007	8	44	-$1	0.15	0.025942	1	$18.00	4
546.0007	6	45	+$0	0.25	-1	0	$18.00	2
556.0007	10	46	-$5	0.15	-1	0	$13.00	6
570.0006	6	47	-$1	0.13	-1	0	$12.00	2
580.0007	6	48	-$5	0.17	-1	0	$7.00	2
590.0007	10	49	+$5	0.15	-1	0	$7.00	6
604.0009	6	50	-$5	0.19	0.0965	1	$7.00	2
614.0007	6	51	-$1	0.11	-1	0	$6.00	2
624.0007	10	52	-$0	0.25	0.20247	1	$6.00	6
638.0007	8	53	-$5	0.21	0.066748	1	$6.00	4
650.0007	6	54	+$0	0.23	0.19255	1	$6.00	2
660.0007	8	55	+$1	0.17	0.10757	1	$7.00	4
672.0007	10	56	-$1	0.09	-1	0	$6.00	6
686.0008	6	57	+$1	0.15	0.12762	1	$7.00	2
696.0008	8	58	+$1	0.13	0.026061	1	$8.00	4
708.0007	8	59	+$5	0.17	0.046689	1	$13.00	4
720.0007	10	60	+$1	0.11	-1	0	$13.00	6
734.0006	10	61	-$5	0.23	0.16306	1	$13.00	6
748.0007	6	62	+$5	0.15	-1	0	$13.00	2
758.0008	8	63	+$1	0.09	-1	0	$13.00	4
770.0007	8	64	+$1	0.11	-1	0	$13.00	4
782.0008	8	65	-$1	0.11	-1	0	$12.00	4
794.0006	6	66	-$0	0.27	-1	0	$12.00	2
804.0006	8	67	+$5	0.17	-1	0	$12.00	4
816.0008	10	68	+$0	0.21	-1	0	$12.00	6
830.0007	8	69	+$0	0.23	0.22322	1	$12.00	4
842.0007	10	70	-$0	0.29	0.22875	1	$12.00	6
856.0008	6	71	-$0	0.31	0.23687	1	$12.00	2
866.0008	6	72	+$5	0.19	-1	0	$12.00	2
