onset	duration	trial	trial_type	target_s	response_time	hit	total_gain	iti
12.0001	10	1	-$0	0.25	0.22104	1	$0.00	6
26.0008	10	2	-$1	0.25	0.2226	1	$0.00	6
40.0006	6	3	+$0	0.25	0.23812	1	$0.00	2
50.0008	8	4	+$5	0.25	0.23819	1	$5.00	4
62.0007	10	5	+$0	0.25	0.21699	1	$5.00	6
76.0007	8	6	+$0	0.25	0.22328	1	$5.00	4
88.0007	10	7	-$5	0.25	0.21889	1	$5.00	6
102.0007	6	8	-$1	0.25	0.21725	1	$5.00	2
112.0007	10	9	+$1	0.25	0.21153	1	$6.00	6
126.0008	8	10	-$0	0.25	0.23888	1	$6.00	4
138.0007	10	11	+$1	0.25	0.21104	1	$7.00	6
152.0007	6	12	+$5	0.25	0.2067	1	$12.00	2
162.0007	8	13	-$5	0.25	0.23104	1	$12.00	4
174.0007	8	14	+$0	0.23	-1	0	$12.00	4
186.0007	10	15	-$1	0.25	0.21919	1	$12.00	6
200.0007	6	16	-$0	0.25	0.23569	1	$12.00	2
210.0007	8	17	-$1	0.23	-1	0	$11.00	4
222.0007	10	18	+$5	0.25	0.20415	1	$16.00	6
236.0007	6	19	-$5	0.25	0.22636	1	$16.00	2
246.0007	8	20	+$5	0.23	-1	0	$16.00	4
258.0007	6	21	+$1	0.25	0.2235	1	$17.00	2
268.0007	8	22	-$5	0.23	-1	0	$12.00	4
280.0011	10	23	-$1	0.21	-1	0	$11.00	6
294.0007	6	24	-$0	0.23	0.22854	1	$11.00	2
304.0007	6	25	+$1	0.23	-1	0	$11.00	2
314.0007	10	26	+$5	0.21	-1	0	$11.00	6
328.0007	8	27	-$0	0.21	-1	0	$11.00	4
340.0007	10	28	+$0	0.21	-1	0	$11.00	6
354.0007	6	29	-$5	0.21	0.20579	1	$11.00	2
364.0007	10	30	+$1	0.21	-1	0	$11.00	6
378.0007	8	31	-$5	0.19	-1	0	$6.00	4
390.0007	10	32	-$0	0.19	-1	0	$6.00	6
404.0008	8	33	+$0	0.23	0.21644	1	$6.00	4
416.0007	6	34	-$1	0.23	0.22474	1	$6.00	2
426.0008	6	35	+$1	0.23	0.21653	1	$7.00	2
436.0007	8	36	-$0	0.17	-1	0	$7.00	4
448.0007	10	37	+$5	0.23	0.19761	1	$12.00	6
462.0007	6	38	+$0	0.21	-1	0	$12.00	2
472.0007	8	39	-$0	0.19	-1	0	$12.00	4
484.0008	10	40	+$0	0.23	-1	0	$12.00	6
498.0007	10	41	-$5	0.17	-1	0	$7.00	6
512.0007	8	42	-$1	0.21	0.1834	1	$7.00	4
524.0007	6	43	+$5	0.21	0.20668	1	$12.00	2
534.0007	8	44	-$1	0.19	-1	0	$11.00	4
546.0007	6	45	+$0	0.25	-1	0	$11.00	2
556.0007	10	46	-$5	0.19	-1	0	$6.00	6
570.0007	6	47	-$1	0.21	-1	0	$5.00	2
580.0007	6	48	-$5	0.21	0.20136	1	$5.00	2
590.0007	10	49	+$5	0.19	-1	0	$5.00	6
604.0007	6	50	-$5	0.23	-1	0	$0.00	2
614.0005	6	51	-$1	0.23	-1	0	$-1.00	2
624.0013	10	52	-$0	0.21	-1	0	$-1.00	6
638.0007	8	53	-$5	0.25	0.2362	1	$-1.00	4
650.0007	6	54	+$0	0.27	-1	0	$-1.00	2
660.0006	8	55	+$1	0.21	-1	0	$-1.00	4
672.0008	10	56	-$1	0.25	-1	0	$-2.00	6
686.0007	6	57	+$1	0.23	0.21619	1	$-1.00	2
696.0008	8	58	+$1	0.25	0.22267	1	$0.00	4
708.0007	8	59	+$5	0.21	-1	0	$0.00	4
720.0007	10	60	+$1	0.23	0.22061	1	$1.00	6
734.0007	10	61	-$5	0.27	0.23086	1	$1.00	6
748.0007	6	62	+$5	0.23	0.20887	1	$6.00	2
758.0011	8	63	+$1	0.21	-1	0	$6.00	4
770.0008	8	64	+$1	0.23	-1	0	$6.00	4
782.0007	8	65	-$1	0.27	0.24008	1	$6.00	4
794.0007	6	66	-$0	0.23	-1	0	$6.00	2
804.0007	8	67	+$5	0.25	0.22881	1	$11.00	4
816.0007	10	68	+$0	0.29	-1	0	$11.00	6
830.0007	8	69	+$0	0.31	-1	0	$11.00	4
842.0007	10	70	-$0	0.25	-1	0	$11.00	6
856.0007	6	71	-$0	0.27	0.22587	1	$11.00	2
866.0007	6	72	+$5	0.27	0.21592	1	$16.00	2
